Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
Jacksonville St Gamecocks vs. Middle Tennessee Blue Raiders,Mar 14 03:00PM ET,Jacksonville St Gamecocks,Middle Tennessee Blue Raiders,Middle Tennessee Blue Raiders,100.9950248756219,0.476088031891677,1.5,-110.0,137.5,137.5,-110.0,137.5,-110.0
Jacksonville St Gamecocks vs. Middle Tennessee Blue Raiders,Mar 14 03:00PM ET,Jacksonville St Gamecocks,Middle Tennessee Blue Raiders,Jacksonville St Gamecocks,-120.99547511312221,0.5239119681083231,-1.5,-110.0,137.5,137.5,-110.0,137.5,-110.0
Tennessee Volunteers vs. Texas Longhorns,Mar 14 03:30PM ET,Tennessee Volunteers,Texas Longhorns,Tennessee Volunteers,-530.0,0.8079268292682926,-10.0,-110.0,135.5,135.5,-110.0,135.5,-110.0
Tennessee Volunteers vs. Texas Longhorns,Mar 14 03:30PM ET,Tennessee Volunteers,Texas Longhorns,Texas Longhorns,400.0,0.19207317073170732,10.0,-110.0,135.5,135.5,-110.0,135.5,-110.0
Tulane Green Wave vs. Florida Atlantic Owls,Mar 14 03:30PM ET,Tulane Green Wave,Florida Atlantic Owls,Florida Atlantic Owls,-160.00000000000003,0.5932372558235329,-3.5,-110.0,147.0,147.0,-110.0,147.0,-110.0
Tulane Green Wave vs. Florida Atlantic Owls,Mar 14 03:30PM ET,Tulane Green Wave,Florida Atlantic Owls,Tulane Green Wave,136.9957805907173,0.4067627441764672,3.5,-110.0,147.0,147.0,-110.0,147.0,-110.0
Akron Zips vs. Toledo Rockets,Mar 14 05:00PM ET,Akron Zips,Toledo Rockets,Toledo Rockets,308.00000000000006,0.23591789084541298,8.5,-110.0,165.5,165.5,-110.0,165.5,-110.0
George Mason Patriots vs. GW Revolutionaries,Mar 14 05:00PM ET,George Mason Patriots,GW Revolutionaries,George Mason Patriots,-148.00000000000003,0.5731497418244406,-2.5,-110.0,128.5,128.5,-110.0,128.5,-110.0
Akron Zips vs. Toledo Rockets,Mar 14 05:00PM ET,Akron Zips,Toledo Rockets,Akron Zips,-384.99999999999994,0.7640821091545871,-8.5,-110.0,165.5,165.5,-110.0,165.5,-110.0
George Mason Patriots vs. GW Revolutionaries,Mar 14 05:00PM ET,George Mason Patriots,GW Revolutionaries,GW Revolutionaries,125.00000000000001,0.4268502581755593,2.5,-110.0,128.5,128.5,-110.0,128.5,-110.0
Quinnipiac Bobcats vs. Iona Gaels,Mar 14 06:00PM ET,Quinnipiac Bobcats,Iona Gaels,Quinnipiac Bobcats,-204.99999999999997,0.6447291788002328,-4.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Norfolk St Spartans vs. Morgan St Bears,Mar 14 06:00PM ET,Norfolk St Spartans,Morgan St Bears,Morgan St Bears,525.0,0.15319902590214746,11.5,-110.0,154.5,154.5,-110.0,154.5,-110.0
Norfolk St Spartans vs. Morgan St Bears,Mar 14 06:00PM ET,Norfolk St Spartans,Morgan St Bears,Norfolk St Spartans,-764.9999999999997,0.8468009740978525,-11.5,-110.0,154.5,154.5,-110.0,154.5,-110.0
Quinnipiac Bobcats vs. Iona Gaels,Mar 14 06:00PM ET,Quinnipiac Bobcats,Iona Gaels,Iona Gaels,170.0,0.35527082119976705,4.5,-110.0,144.5,144.5,-110.0,144.5,-110.0
Maryland Terrapins vs. Illinois Fighting Illini,Mar 14 06:30PM ET,Maryland Terrapins,Illinois Fighting Illini,Illinois Fighting Illini,-105.0,0.4891657638136511,1.0,-110.0,159.0,159.0,-110.0,159.0,-110.0
Maryland Terrapins vs. Illinois Fighting Illini,Mar 14 06:30PM ET,Maryland Terrapins,Illinois Fighting Illini,Maryland Terrapins,-114.99999999999997,0.5108342361863488,-1.0,-110.0,159.0,159.0,-110.0,159.0,-110.0
St. John's Red Storm vs. Marquette Golden Eagles,Mar 14 06:30PM ET,St. John's Red Storm,Marquette Golden Eagles,Marquette Golden Eagles,179.99999999999997,0.3418803418803419,4.5,-109.5,141.5,141.5,-110.0,141.5,-110.0
St. John's Red Storm vs. Marquette Golden Eagles,Mar 14 06:30PM ET,St. John's Red Storm,Marquette Golden Eagles,St. John's Red Storm,-220.0,0.6581196581196581,-4.5,-110.0,141.5,141.5,-110.0,141.5,-110.0
Florida Gators vs. Missouri Tigers,Mar 14 07:00PM ET,Florida Gators,Missouri Tigers,Florida Gators,-414.99999999999994,0.7719220549158546,-8.5,-111.0,161.5,161.5,-110.0,161.5,-110.0
Florida Gators vs. Missouri Tigers,Mar 14 07:00PM ET,Florida Gators,Missouri Tigers,Missouri Tigers,320.0,0.22807794508414528,8.5,-109.0,161.5,161.5,-110.0,161.5,-110.0
Houston Cougars vs. BYU Cougars,Mar 14 07:00PM ET,Houston Cougars,BYU Cougars,Houston Cougars,-324.99999999999994,0.7335423197492164,-7.0,-110.0,136.0,136.0,-110.0,136.0,-110.0
North Texas Mean Green vs. Tulsa Golden Hurricane,Mar 14 07:00PM ET,North Texas Mean Green,Tulsa Golden Hurricane,North Texas Mean Green,-1300.0000000000007,0.891511829501077,-14.0,-110.0,125.0,125.0,-110.0,125.0,-110.0
North Texas Mean Green vs. Tulsa Golden Hurricane,Mar 14 07:00PM ET,North Texas Mean Green,Tulsa Golden Hurricane,Tulsa Golden Hurricane,784.9717514124294,0.108488170498923,14.0,-110.0,125.0,125.0,-110.0,125.0,-110.0
