Game,Game Time,Team,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge
Michigan Wolverines vs. UC San Diego Tritons,Mar 20 10:00PM ET,UC San Diego Tritons,2,0.5069154583167825,2.5,-0.019150892394117935,0.8,,3.0,1.8,1.4,0.4285203882351135,118,0.4402054292002935,-0.03019520809516174,0.024,,0.4,0.433670694539867,142,142.5,1.1,,141.0,142.69721655116,140.57,0.4880954871,0.5054618912,-0.03571403670952383,-0.01834763260952388
Texas Tech Red Raiders vs. UNC Wilmington Seahawks,Mar 20 10:10PM ET,UNC Wilmington Seahawks,15,0.4953029387967503,14.5,-0.028506585012773533,2.4,,15.0,12.4,17.1,0.10007934863698167,912,0.09468762176906091,0.001298860832103621,0.022,,0.0899999999999999,0.120942151009805,144,142.5,1.3,,147.0,144.434932281869,145.89999999999998,0.5169238638,0.4766401495,-0.006885660009523842,-0.04716937430952384
Texas Tech Red Raiders vs. UNC Wilmington Seahawks,Mar 20 10:10PM ET,Texas Tech Red Raiders,-15,0.5046970612032498,-14.5,-0.019112462606274083,2.4,,-15.0,-12.4,-17.1,0.8999206513630182,-1700,0.905312378230939,-0.04452379308142618,0.022,,0.91,0.879057848990195,144,142.5,1.3,,147.0,144.434932281869,145.89999999999998,0.5169238638,0.4766401495,-0.006885660009523842,-0.04716937430952384
Louisville Cardinals vs. Creighton Bluejays,Mar 20 12:15PM ET,Creighton Bluejays,2,0.5069154583167825,2.5,-0.009992754243603907,0.9,3.4,3.0,1.8,1.5,0.41444201312910284,125,0.42888402625820565,-0.030002431315341582,0.032,0.37,0.4,0.434606905065393,146,145.5,0.1,147.0,147.0,147.122803887059,146.82999999999998,0.5009766954,0.4925832308,-0.02283282840952383,-0.031226293009523842
Louisville Cardinals vs. Creighton Bluejays,Mar 20 12:15PM ET,Louisville Cardinals,-2,0.4930845416832174,-2.5,-0.03298180902768305,0.9,-3.4,-3.0,-1.8,-1.5,0.5855579868708971,-145,0.5711159737417943,-0.006278747822980435,0.032,0.63,0.6,0.565393094934607,146,145.5,0.1,147.0,147.0,147.122803887059,146.82999999999998,0.5009766954,0.4925832308,-0.02283282840952383,-0.031226293009523842
Purdue Boilermakers vs. High Point Panthers,Mar 20 12:40PM ET,High Point Panthers,8,0.4772910735959498,7.5,-0.046518450213574036,1.2,10.5,9.0,7.9,10.1,0.22582056892778987,280,0.25164113785557984,-0.03733732580905222,0.031,0.17,0.1999999999999999,0.231435107111926,153,154.0,1.5,153.0,155.0,152.657827450089,151.27,0.4687936268,0.5248136237,-0.05501589700952386,0.0010040998904761178
Purdue Boilermakers vs. High Point Panthers,Mar 20 12:40PM ET,Purdue Boilermakers,-8,0.5227089264040501,-7.5,-0.0011005974054737466,1.2,-10.5,-9.0,-7.9,-10.1,0.7741794310722101,-360,0.7483588621444202,-0.008429264579963847,0.031,0.83,0.8,0.768564892888074,153,154.0,1.5,153.0,155.0,152.657827450089,151.27,0.4687936268,0.5248136237,-0.05501589700952386,0.0010040998904761178
Iowa State Cyclones vs. Lipscomb Bisons,Mar 21 01:30PM ET,Lipscomb Bisons,14,0.5431755330404169,14.5,0.019366009230893044,2.7,,12.0,12.4,16.9,0.11930987083254896,812,0.10503063746233793,0.00970026122293935,0.009,,0.14,0.12717820840552,143,143.0,0.5,,144.0,143.268835881045,143.04000000000002,0.496113236,0.4974429348999999,-0.027696287809523823,-0.026366588909523925
Iowa State Cyclones vs. Lipscomb Bisons,Mar 21 01:30PM ET,Iowa State Cyclones,-14,0.4568244669595832,-14.5,-0.06698505684994066,2.7,,-12.0,-12.4,-16.9,0.8806901291674512,-1415,0.8949693625376621,-0.053296798937124024,0.009,,0.86,0.87282179159448,143,143.0,0.5,,144.0,143.268835881045,143.04000000000002,0.496113236,0.4974429348999999,-0.027696287809523823,-0.026366588909523925
Memphis Tigers vs. Colorado St Rams,Mar 21 02:00PM ET,Colorado St Rams,-2,0.5404333775690287,-1.5,0.014367026858128185,1.9,-3.0,-1.0,0.0,-4.3,0.5362337662337663,-125,0.5324675324675325,-0.019321789321789296,0.061,0.62,0.54,0.500184354146678,147,147.0,0.2,147.0,147.0,146.532353340237,146.78,0.4898347492,0.503729314,-0.03397477460952386,-0.020080209809523852
